"","area","use_of_elec","use_of_gas","average_hour","GHG","operation_type"
"337",5554,21055.704726,10505.534274,70,20799.4865940151,"Storage Facilities"
"338",6330,36377.793333,14688.402117,70,29358.5223509637,"Storage Facilities"
"339",53798,507010.59,115098.92,70,238932.6909348,"Storage Facilities"
"340",15317,120549.345994,27815.626667,70,57663.0416627932,"Storage Facilities"
"341",2809,32052.56941,4533.827859,70,9894.97022186371,"Storage Facilities"
"342",1981,64673.349186,0,70,2586.93396744,"Storage Facilities"
"343",36447,325187.264989,46295.983919,70,100955.508290645,"Storage Facilities"
"344",1023,57652.00395,9731.778062,70,20793.4416246008,"Storage Facilities"
"345",148198,1251225.757097,329184.264133,70,675397.085014699,"Storage Facilities"
"346",32679,1115583.16629,44271.90625,70,128726.224235662,"Storage Facilities"
"347",131976,852863.634294,176149.490036,70,368743.970098249,"Storage Facilities"
"348",31667,396235.104807,28071.476173,70,69176.5067633664,"Storage Facilities"
"349",236645,2859284.994903,390191.429893,70,855614.157249553,"Storage Facilities"
"350",84701,1069364.672936,343212.738221,70,694772.393588491,"Storage Facilities"
"351",9698,81153.119375,16931.580882,70,35410.8796607266,"Storage Facilities"
"352",5705,52787.833583,13141.067879,70,27075.4685823775,"Storage Facilities"
"353",138069,1742369.85729,193887.933512,70,438021.762705011,"Storage Facilities"
"354",18998,225577.585247,42198.363981,70,89186.9134809459,"Storage Facilities"
"355",26404,341098.422774,77131.117756,70,160169.150000856,"Storage Facilities"
"356",2756,62536.727486,0,70,2501.46909944,"Storage Facilities"
"357",22604,30464.734154,18288.705,70,35961.45936761,"Storage Facilities"
"358",23907,360921.872647,51622.698111,70,112503.998280366,"Storage Facilities"
"359",183,17347.66334,0,70,693.9065336,"Storage Facilities"
"360",83485,435252.015907,168455.559674,70,337423.422793381,"Storage Facilities"
"361",27373,196288.853596,45871.935484,70,94994.01126344,"Storage Facilities"
"362",11001,518310.081301,44575.192,70,105411.44974252,"Storage Facilities"
"363",4618,388910.244316,11649.51515,70,37686.8772079435,"Storage Facilities"
"364",6135,118203.397419,18704.421212,70,40260.7378289843,"Storage Facilities"
"365",700,25592.419341,0,70,1023.69677364,"Storage Facilities"
"366",301,44250.63125,0,70,1770.02525,"Storage Facilities"
"367",13950,93093.927283,0,70,3723.75709132,"Storage Facilities"
"368",14779,406027.22134,30893.173654,70,74928.5419123673,"Storage Facilities"
"369",710493,4853785.135,692755.53,100,1510172.1581857,"Storage Facilities"
"370",301,26163.172273,0,70,68223.4242672202,"Storage Facilities"
"371",301,26163.172273,0,70,68223.4242672202,"Storage Facilities"
"372",32044,225315.002633,41334.702197,70,87535.7205219389,"Storage Facilities"
"373",9526,280945.46916,0,70,11237.8187664,"Storage Facilities"
"374",5769,233638.443944,55398.596548,70,114585.69763403,"Storage Facilities"
"375",50041,582603.754086,129396.020434,70,269116.476221705,"Storage Facilities"
"376",66155,626754.484903,86598.817096,70,189581.08624522,"Storage Facilities"
"377",13046,86201.8057,0,70,3448.072228,"Storage Facilities"
"378",16264,5926.683493,47502.188965,70,90476.5006946409,"Storage Facilities"
"379",26759,223491.683074,48297.621376,70,100690.175674733,"Storage Facilities"
